Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy
1000,100000,20,20,3,44.5222129086337,52.9398634890441,71.6596814752724,36.455166682645,58.0127320589675,26.5845044562433,29.2122574768992,144.083334648059
10000,1e-05,20,20,3,46.8566638725901,56.4805421633109,74.4844928751048,39.8530829060198,66.68116813,28.4334890030371,33.3836678009379,129.924755084225
10000,0.0001,20,20,3,45.6244761106454,55.4601433465353,74.140821458508,38.1812664809667,64.4957335888768,27.1306804681324,31.5998101322471,133.148141890748
10000,0.001,20,20,3,45.5699916177703,55.7258036320366,74.4551550712489,38.3534486708518,64.4676779892769,27.312818341664,31.7558215509706,132.464538503048
10000,0.01,20,20,3,46.0268231349539,55.7784715172156,74.2665549036044,39.5201566967728,65.6179511581018,28.3017241751738,32.9647486295963,132.722981979726
10000,0.1,20,20,3,46.1525565800503,55.7190547576565,73.6336965632858,40.1190177401481,65.288798498533,28.9824083154407,33.4878269171254,133.898128553096
10000,1,20,20,3,45.1089689857502,54.7519889971331,73.4325230511316,38.2891379438824,61.7783298893943,27.7976049042437,31.3954458008173,137.679723667708
10000,10,20,20,3,46.6764459346186,54.9479765163818,73.02179379715,39.6254823655076,62.6346734838154,28.9957360037672,32.6940176217241,137.496940518278
10000,100,20,20,3,46.663872590109,54.585169794878,72.4937133277452,39.685736898594,61.6461964042106,29.2925308783314,32.6393255212578,139.242826479501
10000,1000,20,20,3,45.1718357082984,53.7744777579655,71.663872590109,38.2285307875806,61.0409615384506,27.8463794913446,31.2188421517458,141.364570661821
10000,10000,20,20,3,45.6663872590109,54.280197209896,72.1919530595138,39.250525966139,61.638681809205,28.8126908969945,32.2330770076597,140.070143266335
10000,100000,20,20,3,45.6412405699916,54.3183829542728,72.1123218776195,39.5336390039763,61.9518160314149,29.0466706700133,32.5289265344518,140.103343136396
100000,1e-05,20,20,3,45.7585917854149,55.4782013934973,72.8667225481978,40.5257822395389,66.2179034792378,29.2130399657843,33.9476946438623,135.487844280154
100000,0.0001,20,20,3,46.9530595138307,55.6107444876418,72.9337803855826,41.2721751023756,66.7672865393785,29.8929464775589,34.705153432615,135.327368055017
100000,0.001,20,20,3,45.9220452640402,55.6419707446795,73.1642917015926,40.48877269622,65.6871668208826,29.295943803381,33.8544297836294,135.664270609613
100000,0.01,20,20,3,45.8298407376362,55.1162371496513,73.3696563285834,40.7735707716477,65.8487247884215,29.580188618111,34.1577502236098,137.146999246691
100000,0.1,20,20,3,46.7476948868399,55.2712020079231,72.8541492036882,41.5729080659732,64.5339561587534,30.6898860774259,34.733143036788,138.353055149735
100000,1,20,20,3,47.0452640402347,54.2731669515742,72.1374685666387,40.8123619273018,62.5864851944035,30.3121746380787,33.7930771750089,141.851876947017
100000,10,20,20,3,46.4501257334451,53.7753317013142,71.4710813076278,40.6471376085972,61.1457453292243,30.4816976494019,33.4579517557819,144.52720236435
100000,100,20,20,3,47.4350377200335,53.6490065941274,70.9765297569153,41.4486813103502,61.7607101564189,31.2337724054209,34.2685316479614,145.880904480258
100000,1000,20,20,3,46.5632858340318,53.8698222735144,71.0268231349539,42.0290449821226,62.0669267134236,31.8694404962998,34.870679739005,145.499496279925
100000,10000,20,20,3,46.6051969823973,53.7468114274042,70.9723386420788,40.9081776989772,61.0695114411489,30.8032470309712,33.6763271423086,145.303000860695
100000,100000,20,20,3,47.2338642078793,54.2081254826247,71.1860854987427,41.7958641695972,61.4927605782592,31.7093570308416,34.5544273693501,144.374834316618
0.001,1e-05,40,40,3,46.0938809723386,52.5838911252814,72.300922045264,40.6977475075612,64.6927815336629,29.7155823789384,33.9421460698512,146.182197648479
