Del,Lambda,Alpha,Dimension,m,k,MeanAccuracy,StdAccuracy,MeanNMI,StdNMI,MeanPurity,StdPurity
0.3,0.01,1,40,40,3,44.2581726739313,0,53.4682455251216,0,73.5959765297569,0
0.3,0.01,10,40,40,3,44.3839061190277,0,49.0711110463592,0,68.0637049455155,0
0.3,0.01,100,40,40,3,42.3302598491199,0,47.2528274155476,0,68.8600167644593,0
0.3,0.01,1000,40,40,3,41.2824811399832,0,48.464903242203,0,68.650461022632,0
0.3,0.01,10000,40,40,3,39.8575020955574,0,47.2161227082151,0,68.9438390611903,0
0.3,0.01,100000,40,40,3,41.0729253981559,0,45.6860554448229,0,64.7946353730092,0
0.3,0.1,1e-05,40,40,3,48.8683989941324,0,56.0359374702881,0,78.4157585917854,0
0.3,0.1,0.0001,40,40,3,48.7845766974015,0,55.5457859690407,0,78.290025146689,0
0.3,0.1,0.001,40,40,3,49.2455993294216,0,56.2199915761321,0,78.5834031852473,0
0.3,0.1,0.01,40,40,3,49.2875104777871,0,55.481429029867,0,78.0804694048617,0
0.3,0.1,0.1,40,40,3,41.7435037720034,0,53.182804769928,0,77.2422464375524,0
0.3,0.1,1,40,40,3,44.9287510477787,0,56.4569722683098,0,77.8709136630344,0
0.3,0.1,10,40,40,3,54.9455155071249,0,55.4956415908831,0,75.9010896898575,0
0.3,0.1,100,40,40,3,43.0846605196982,0,50.2357482708099,0,71.2489522212909,0
0.3,0.1,1000,40,40,3,42.8331936295055,0,50.1778522707483,0,71.081307627829,0
0.3,0.1,10000,40,40,3,42.7493713327745,0,50.1976801131409,0,70.8717518860017,0
0.3,0.1,100000,40,40,3,42.7493713327745,0,50.1976801131409,0,70.8717518860017,0
0.3,1,1e-05,40,40,3,48.9522212908634,0,56.0515136539585,0,77.745180217938,0
0.3,1,0.0001,40,40,3,47.4015088013412,0,56.1084493560945,0,77.7032690695725,0
0.3,1,0.001,40,40,3,47.6948868398994,0,57.4891917654747,0,78.2062028499581,0
0.3,1,0.01,40,40,3,46.3537300922045,0,55.7485860110343,0,76.7393126571668,0
0.3,1,0.1,40,40,3,46.7309304274937,0,55.6156351605895,0,76.5297569153395,0
0.3,1,1,40,40,3,54.8197820620285,0,60.1503824866644,0,79.0025146689019,0
0.3,1,10,40,40,3,52.430846605197,0,57.8524954290248,0,75.943000838223,0
0.3,1,100,40,40,3,46.39564124057,0,54.1658599950674,0,73.4702430846605,0
0.3,1,1000,40,40,3,48.9522212908634,0,55.8050511923302,0,74.8952221290863,0
0.3,1,10000,40,40,3,48.826487845767,0,55.2263047234983,0,74.3084660519698,0
0.3,1,100000,40,40,3,49.5389773679799,0,55.9234945924559,0,74.8533109807209,0
0.3,10,1e-05,40,40,3,46.3537300922045,0,54.8021688039201,0,76.0268231349539,0
0.3,10,0.0001,40,40,3,46.2699077954736,0,54.9022956375783,0,76.1106454316848,0
0.3,10,0.001,40,40,3,45.0125733445096,0,55.922937616419,0,76.8231349538977,0
0.3,10,0.01,40,40,3,44.8449287510478,0,55.7537016188078,0,76.487845766974,0
0.3,10,0.1,40,40,3,47.4015088013412,0,55.4278312853335,0,76.2782900251467,0
0.3,10,1,40,40,3,49.371332774518,0,53.9415710549048,0,74.4761106454317,0
0.3,10,10,40,40,3,47.1081307627829,0,58.5827883252766,0,78.8348700754401,0
0.3,10,100,40,40,3,43.3780385582565,0,53.6746665926862,0,71.6680637049455,0
0.3,10,1000,40,40,3,41.8692372170997,0,52.4384911239245,0,74.8113998323554,0
0.3,10,10000,40,40,3,43.6295054484493,0,53.2626597979682,0,75.4819782062029,0
0.3,10,100000,40,40,3,43.6295054484493,0,53.0622869961462,0,75.3981559094719,0
0.3,100,1e-05,40,40,3,45.2640402347024,0,55.7821960107759,0,76.2363788767812,0
0.3,100,0.0001,40,40,3,46.7309304274937,0,55.9621773920699,0,76.7812238055323,0
0.3,100,0.001,40,40,3,46.39564124057,0,54.0540208733019,0,75.3981559094719,0
0.3,100,0.01,40,40,3,44.1324392288349,0,52.2252688154193,0,74.8952221290863,0
0.3,100,0.1,40,40,3,44.9287510477787,0,54.8766970167371,0,78.0385582564962,0
0.3,100,1,40,40,3,45.9346186085499,0,56.2680860396653,0,75.3981559094719,0
0.3,100,10,40,40,3,49.4132439228835,0,57.2047169407971,0,75.5238893545683,0
0.3,100,100,40,40,3,49.2455993294216,0,55.0287261929276,0,74.6437552388935,0
0.3,100,1000,40,40,3,48.742665549036,0,55.5384786329927,0,75.2724224643755,0
0.3,100,10000,40,40,3,49.6647108130763,0,53.5392916784949,0,72.1709974853311,0
0.3,100,100000,40,40,3,49.0360435875943,0,53.4191049277216,0,72.254819782062,0
0.3,1000,1e-05,40,40,3,48.1559094719195,0,55.426925031939,0,76.2782900251467,0
0.3,1000,0.0001,40,40,3,48.197820620285,0,55.0442096576351,0,76.0268231349539,0
0.3,1000,0.001,40,40,3,48.1559094719195,0,55.2695342870414,0,76.1106454316848,0
0.3,1000,0.01,40,40,3,46.8147527242246,0,53.2197277288686,0,74.5180217937971,0
0.3,1000,0.1,40,40,3,55.2388935456832,0,58.6711724501986,0,79.0025146689019,0
0.3,1000,1,40,40,3,46.3537300922045,0,54.9837439538384,0,76.3202011735122,0
0.3,1000,10,40,40,3,52.8918692372171,0,57.2018201211411,0,75.1466890192791,0
0.3,1000,100,40,40,3,45.0125733445096,0,51.3133847452605,0,72.4224643755239,0
0.3,1000,1000,40,40,3,46.5213746856664,0,53.6920102675072,0,75.7334450963956,0
0.3,1000,10000,40,40,3,49.2455993294216,0,54.8050471702126,0,74.0150880134116,0
0.3,1000,100000,40,40,3,49.6227996647108,0,54.9370096989271,0,74.0989103101425,0
0.3,10000,1e-05,40,40,3,48.8683989941324,0,54.2568556937651,0,73.4702430846605,0
0.3,10000,0.0001,40,40,3,48.742665549036,0,54.3751772709725,0,73.512154233026,0
0.3,10000,0.001,40,40,3,53.1852472757754,0,57.7136423678703,0,77.661357921207,0
0.3,10000,0.01,40,40,3,53.4367141659681,0,57.2940242596194,0,77.4098910310143,0
0.3,10000,0.1,40,40,3,49.9161777032691,0,55.9886652900476,0,75.3562447611065,0
0.3,10000,1,40,40,3,40.2347024308466,0,51.251990356753,0,72.3805532271584,0
0.3,10000,10,40,40,3,56.3704945515507,0,56.2363297095408,0,75.3562447611065,0
0.3,10000,100,40,40,3,49.6227996647108,0,55.2137602595128,0,74.9371332774518,0
0.3,10000,1000,40,40,3,43.5875943000838,0,50.9552387938479,0,73.2606873428332,0
0.3,10000,10000,40,40,3,47.652975691534,0,54.9698166900758,0,73.0930427493713,0
0.3,10000,100000,40,40,3,47.7367979882649,0,53.4648785588558,0,74.1827326068734,0
0.3,100000,1e-05,40,40,3,48.5750209555742,0,54.8331866179762,0,74.8533109807209,0
0.3,100000,0.0001,40,40,3,48.7007544006706,0,54.766235299533,0,74.8952221290863,0
0.3,100000,0.001,40,40,3,49.8323554065381,0,54.4639286817629,0,74.8533109807209,0
0.3,100000,0.01,40,40,3,49.7485331098072,0,55.413161290544,0,73.0092204526404,0
