Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy
10,0.1,6,6,3,61.5384615384615,57.498854312998,73.3727810650888,53.9656846876012,57.9020493226815,50.5304637769021,41.2384772342644,95.0860818948917
10,1,6,6,3,59.1715976331361,52.810725823224,72.189349112426,51.0821080455972,56.1365286855483,46.8626856623219,37.9635339534979,104.916545560246
10,10,6,6,3,55.0295857988166,54.790080078237,71.0059171597633,51.2167606768735,54.6799724707502,48.1661109427099,37.6435924615706,101.742560705589
10,100,6,6,3,50.2958579881657,43.7156307288984,63.905325443787,38.9574379592403,35.8967807869188,42.5886632312822,18.3700822356444,131.630294011775
10,1000,6,6,3,48.5207100591716,42.1998210797998,62.1301775147929,37.4356194090539,33.8563373375827,41.8611700515308,15.799722880274,135.660581627494
10,10000,6,6,3,48.5207100591716,42.1998210797998,62.1301775147929,37.4356194090539,33.8563373375827,41.8611700515308,15.799722880274,135.660581627494
10,100000,6,6,3,48.5207100591716,42.1998210797998,62.1301775147929,37.4356194090539,33.8563373375827,41.8611700515308,15.799722880274,135.660581627494
100,1e-05,6,6,3,63.3136094674556,58.0477367599603,75.7396449704142,56.6959921798631,61.2891863332159,52.7432555319794,44.8375244209616,93.4642622672806
100,0.0001,6,6,3,63.3136094674556,58.0477367599603,75.7396449704142,56.6959921798631,61.2891863332159,52.7432555319794,44.8375244209616,93.4642622672806
100,0.001,6,6,3,63.3136094674556,58.0477367599603,75.7396449704142,56.6959921798631,61.2891863332159,52.7432555319794,44.8375244209616,93.4642622672806
100,0.01,6,6,3,58.5798816568047,53.7122807944828,69.8224852071006,51.5248796147673,54.7594677584442,48.6511063958775,37.9588031907804,104.474823454963
100,0.1,6,6,3,62.1301775147929,58.7969931541346,75.1479289940828,55.3986036694269,59.6503496503497,51.7126401939982,43.1231451699144,91.7698126995667
100,1,6,6,3,54.4378698224852,55.9939699220676,76.9230769230769,51.5630488233228,61.294363256785,44.4983328281297,39.7928956093892,93.7330892721541
100,10,6,6,3,54.4378698224852,52.0762566698578,68.6390532544379,46.8072105102353,47.1820141669233,46.4383146408002,30.8696730263256,109.76601286473
100,100,6,6,3,52.0710059171598,49.9287230329805,69.8224852071006,46.4725481674634,44.5061043285239,48.6207941800546,29.3220273484637,116.589384101637
100,1000,6,6,3,52.0710059171598,49.9287230329805,69.8224852071006,46.4725481674634,44.5061043285239,48.6207941800546,29.3220273484637,116.589384101637
100,10000,6,6,3,52.0710059171598,49.9287230329805,69.8224852071006,46.4725481674634,44.5061043285239,48.6207941800546,29.3220273484637,116.589384101637
100,100000,6,6,3,52.0710059171598,49.9287230329805,69.8224852071006,46.4725481674634,44.5061043285239,48.6207941800546,29.3220273484637,116.589384101637
1000,1e-05,6,6,3,62.7218934911243,57.4553238304927,75.7396449704142,56.3320209973753,61.3872005720415,52.0460745680509,44.4955709995019,94.4917421592167
1000,0.0001,6,6,3,62.7218934911243,57.4553238304927,75.7396449704142,56.3320209973753,61.3872005720415,52.0460745680509,44.4955709995019,94.4917421592167
1000,0.001,6,6,3,63.3136094674556,57.506801077048,75.7396449704142,56.7320261437908,61.5384615384615,52.6220066686875,44.9349624491124,94.6105056864883
1000,0.01,6,6,3,62.1301775147929,56.3796663981349,74.5562130177515,55.1037073330067,59.7379603399433,51.1367080933616,42.8537530797625,97.4112830900641
1000,0.1,6,6,3,63.3136094674556,57.8190112008462,76.3313609467456,56.9837890944817,61.965811965812,52.7432555319794,45.2925009096672,93.7172576947759
1000,1,6,6,3,62.1301775147929,53.8531210923068,73.3727810650888,53.8336052202284,58.2832921229248,50.0151561079115,41.2157071945027,103.421207249939
1000,10,6,6,3,53.2544378698225,52.1617375703298,68.6390532544379,46.7836257309941,47.5148483901219,46.0745680509245,30.9941946290036,109.341957212262
1000,100,6,6,3,43.7869822485207,40.4097559999863,62.7218934911243,38.2825303179285,41.6696396717802,35.4046680812367,21.5289967541075,134.119451419001
1000,1000,6,6,3,55.6213017751479,49.9930158735428,69.2307692307692,46.7772720599031,45.3587699316629,48.2873598060018,30.0016948511619,115.884896841629
1000,10000,6,6,3,55.6213017751479,49.9930158735428,69.2307692307692,46.7772720599031,45.3587699316629,48.2873598060018,30.0016948511619,115.884896841629
1000,100000,6,6,3,55.6213017751479,49.9930158735428,69.2307692307692,46.7772720599031,45.3587699316629,48.2873598060018,30.0016948511619,115.884896841629
10000,1e-05,6,6,3,60.3550295857988,58.7050519855925,77.5147928994083,56.4386317907445,63.1519699812383,51.0154592300697,45.020113959076,90.171580657696
10000,0.0001,6,6,3,60.3550295857988,58.7050519855925,77.5147928994083,56.4386317907445,63.1519699812383,51.0154592300697,45.020113959076,90.171580657696
10000,0.001,6,6,3,59.1715976331361,58.079659469118,76.3313609467456,55.3721791849107,62.2963243652899,49.8332828129736,43.7540306890199,91.4589586587296
10000,0.01,6,6,3,57.396449704142,56.0756045485499,75.7396449704142,54.5577541011331,61.7061973986228,48.8936041224614,42.8062792546039,95.9982376610649
10000,0.1,6,6,3,59.1715976331361,54.8472290835708,76.9230769230769,55.7784778643674,61.5666178623719,50.9851470142467,43.9849954890004,99.8040871701302
10000,1,6,6,3,46.1538461538462,45.8300078579052,69.2307692307692,46.0978835978836,50.7093488541288,42.2552288572295,31.6608127649366,121.041766234623
10000,10,6,6,3,48.5207100591716,39.3371388864402,60.3550295857988,37.7289377289377,41.8544514222386,34.3437405274326,21.227399426027,136.106135131034
10000,100,6,6,3,42.603550295858,38.3626989439802,60.3550295857988,37.125748502994,38.6609780111585,35.7077902394665,19.063965028433,140.057170752727
10000,1000,6,6,3,42.603550295858,37.8715704889752,59.7633136094675,36.8669392890846,38.3131742399477,35.5259169445286,18.6830728486665,141.305204516973
10000,10000,6,6,3,42.603550295858,37.8715704889752,59.7633136094675,36.8669392890846,38.3131742399477,35.5259169445286,18.6830728486665,141.305204516973
10000,100000,6,6,3,42.603550295858,37.8715704889752,59.7633136094675,36.8669392890846,38.3131742399477,35.5259169445286,18.6830728486665,141.305204516973
100000,1e-05,6,6,3,59.1715976331361,44.4020783100825,62.1301775147929,50.8128879692581,49.5817709835593,52.1066989996969,35.4364578987294,129.347389351377
100000,0.0001,6,6,3,59.1715976331361,44.4020783100825,62.1301775147929,50.8128879692581,49.5817709835593,52.1066989996969,35.4364578987294,129.347389351377
100000,0.001,6,6,3,61.5384615384615,48.724174517218,65.0887573964497,54.477050413845,54.0944411237298,54.8651106395878,40.5679943143991,118.864149692945
100000,0.01,6,6,3,57.9881656804734,43.6694713851489,66.2721893491124,54.63474524248,55.3310537768107,53.9557441648985,41.1249973167449,129.478830633081
100000,0.1,6,6,3,55.6213017751479,44.1942665509957,64.4970414201183,52.7244582043344,53.8753559000316,51.6217035465293,38.8078246905196,127.585712694538
100000,1,6,6,3,46.1538461538462,43.0586819490864,62.7218934911243,45.4429572976418,47.9005710446758,43.2252197635647,30.0132336287658,129.012678159571
100000,10,6,6,3,50.2958579881657,37.1956795612356,62.1301775147929,45.1014863353045,47.7011494252874,42.7705365262201,29.642147757541,142.50937927732
100000,100,6,6,3,43.1952662721894,35.5098575602801,55.6213017751479,36.6079426694536,36.069432185937,37.1627765989694,17.0414199326639,147.860957188247
100000,1000,6,6,3,42.0118343195266,34.6963736031695,55.6213017751479,35.9623307828134,34.9442379182156,37.0415277356775,15.8329333713519,150.088144226918
