Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,,,,,,,,
1000,10000,10,10,3,77.83,70.93586951,78.235,67.10542357,66.21827067,68.02291457,63.411919,97.22172915,,,,,,,,
1000,100000,10,10,3,77.79,70.94046339,78.195,67.10664758,66.21251402,68.03125628,63.41292064,97.21135082,,,,,,,,
10000,1.00E-05,10,10,3,79.4,71.69054221,79.835,68.3498658,67.52921144,69.19512563,64.80192322,94.65795549,,,,,,,,
10000,0.0001,10,10,3,79.385,71.67055196,79.82,68.32253128,67.50028863,69.16944724,64.77142673,94.72556783,,,,,,,,
10000,0.001,10,10,3,79.44,71.71011982,79.875,68.39934667,67.58331737,69.23964824,64.8571802,94.58832446,,,,,,,,
10000,0.01,10,10,3,79.445,71.77065488,79.89,68.40429015,67.59831195,69.23417085,64.86312896,94.3802257,,,,,,,,
10000,0.1,10,10,3,78.995,71.69798252,79.31,68.15817689,67.25785993,69.09080402,64.58261695,94.70066208,,,,,,,,
10000,1,10,10,3,81.26,73.19072371,81.565,70.28441876,69.44389013,71.15160804,66.95282532,89.68603273,,,,,,,,
10000,10,10,10,3,80.16,72.65542491,80.29,69.47039546,68.6518958,70.31336683,66.04790918,91.45539264,,,,,,,,
10000,100,10,10,3,76.945,71.08361194,77.785,67.19204271,66.12255818,68.30457286,63.49685409,96.87290065,,,,,,,,
10000,1000,10,10,3,76.98,70.56963635,77.5,66.63549402,65.63963865,67.66723618,62.88205511,98.51811536,,,,,,,,
10000,10000,10,10,3,76.85,70.45161754,77.385,66.49220853,65.48129021,67.53984925,62.72149964,98.92337611,,,,,,,,
10000,100000,10,10,3,76.795,70.40931159,77.34,66.43985693,65.42416781,67.49276382,62.6628258,99.06794841,,,,,,,,
100000,1.00E-05,10,10,3,78.58,72.09353386,79.35,68.46514226,67.26958296,69.71346734,64.902621,93.61231657,,,,,,,,
100000,0.0001,10,10,3,78.58,72.1103689,79.35,68.46668618,67.27242353,69.71351759,64.90446198,93.55565842,,,,,,,,
100000,0.001,10,10,3,79.43,72.48306195,80.13,69.07359772,67.91399583,70.28281407,65.58249193,92.28857508,,,,,,,,
100000,0.01,10,10,3,78.295,71.91077797,79.13,68.31660327,67.11147536,69.58160804,64.73345241,94.22904239,,,,,,,,
