Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy
1,0.0001,14,14,3,78.9523809523809,67.7084980801857,79.5238095238095,65.58017758498,63.6785969620331,67.6223316912972,59.8216363158812,92.121488087058
1,0.001,14,14,3,76.7142857142857,65.5056614972562,77.5714285714286,62.9552389578982,60.8412195977034,65.2413793103448,56.7361322952614,98.519780214384
1,0.01,14,14,3,76.1904761904762,64.9462264079702,77.0476190476191,62.4857940931968,60.1881738017249,64.9852216748769,56.1665531912616,100.2410354379
1,0.1,14,14,3,77.2857142857143,66.1281810643219,78,63.6394757313923,61.3544729095037,66.1740558292283,57.5097601169808,97.1001967169937
1,1,14,14,3,74.2857142857143,62.8192443192421,75.0952380952381,59.4786372641273,56.486287972373,62.9228243021346,52.503033152742,106.936439418244
1,10,14,14,3,72.5238095238095,63.7878278216898,73.952380952381,58.811060666683,54.328559880417,64.5747126436782,51.4124454393226,106.261641890729
10,1e-05,14,14,3,75.3809523809524,63.2284398725573,76.2380952380952,61.2252803223167,58.7954961960196,63.944170771757,54.6568583533413,105.259280976874
10,0.0001,14,14,3,75.3809523809524,63.2284398725573,76.2380952380952,61.2252803223167,58.7954961960196,63.944170771757,54.6568583533413,105.259280976874
10,0.001,14,14,3,74.3333333333333,63.2138128525465,75.8571428571428,61.1028189688672,58.5577852970757,63.9671592775041,54.4971963097144,105.444855991165
10,0.01,14,14,3,75.0476190476191,63.8238001479645,76.3333333333333,61.5415378908563,59.0259296052306,64.3743842364532,55.0146950423738,103.610002432175
10,0.1,14,14,3,77.6666666666667,65.6689425623627,77.9047619047619,63.5340831068626,61.5236320001418,65.6978653530378,57.4212297690591,97.9289531312106
10,1,14,14,3,74.4285714285714,60.0694609201728,74.5238095238095,58.1924494613499,56.54352000683,59.9802955665025,51.2128262221748,113.368674927123
10,10,14,14,3,68.4761904761905,58.6493120711313,69.9523809523809,53.3460149131905,49.3973693271373,58.1674876847291,45.068329786585,119.76283806513
100,1e-05,14,14,3,73.9047619047619,62.2449522504412,74.5714285714286,59.7014840429766,57.3875949958285,62.2791461412151,52.877838886105,107.858993703759
100,0.0001,14,14,3,73.952380952381,62.4029546304042,74.6190476190476,59.7723769024938,57.4252307808911,62.3908045977011,52.9570507828389,107.446327921108
100,0.001,14,14,3,74.952380952381,63.2568265485334,75.5714285714286,60.7347919004763,58.7348462474771,62.9326765188834,54.1295288270819,104.754169529042
100,0.01,14,14,3,75.4285714285714,63.2741322570361,75.7619047619047,61.1612287865298,59.2447683787502,63.2282430213465,54.6548726094227,104.587309185668
100,0.1,14,14,3,75.4761904761905,62.7262618322694,75.6666666666667,60.5820611279172,58.8751241468367,62.4072249589491,54.0009269848346,105.971338269091
100,1,14,14,3,69.1904761904762,57.0219700372447,70.4761904761905,54.1417302164119,51.6441881527657,57.0410509031199,46.3073146720542,122.918537795841
100,10,14,14,3,65.9523809523809,56.4217401923888,66.8571428571429,50.1523954639782,45.8058992034991,55.7175697865353,41.1080131636736,126.527260644643
1000,1e-05,14,14,3,73,60.8000949370537,73.6190476190476,58.1783589288169,55.7342797318394,60.8669950738916,51.0861824321014,112.034329890527
1000,0.0001,14,14,3,73.4285714285714,60.7953496563558,73.952380952381,58.3026913162427,55.9703488738953,60.8669950738916,51.2426805294309,111.949639236639
1000,0.001,14,14,3,72.7142857142857,60.1094290106859,73.3333333333333,57.7479961076762,55.7631800315295,59.8981937602627,50.6455624207125,113.565708797408
1000,0.01,14,14,3,73.4285714285714,60.8470750566222,74.0476190476191,58.6526456555072,56.7243403594278,60.735632183908,51.7165094187202,111.442080814339
1000,0.1,14,14,3,74.1428571428571,61.0384832888015,74.2857142857143,58.6343786013925,56.99588438545,60.3973727422003,51.7342691635743,110.643193423725
1000,1,14,14,3,68.9047619047619,55.9217056762275,69.4761904761905,53.743669146241,51.0521313088573,56.9031198686371,45.7877435323602,126.095557558316
1000,10,14,14,3,64.1428571428571,53.1039230561787,65,49.7055457246042,44.8673914583949,56.3054187192118,40.4387059990978,136.454884704403
10000,1e-05,14,14,3,66.1428571428571,55.4609863974641,67.9047619047619,52.7858137095252,50.3543126850294,55.5073891625616,44.7376713631098,127.078368574268
10000,0.0001,14,14,3,66.1428571428571,55.5289518767004,67.9523809523809,52.8430856788792,50.4655463314272,55.4942528735632,44.8168459681919,126.837176848493
10000,0.001,14,14,3,68.1428571428571,56.2002535159153,69.2857142857143,53.9801002077003,51.5215892347536,56.7619047619048,46.1436000061196,125.08977798631
