Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy
1,0.1,10,10,3,76.715,69.6653549675064,77.98,66.7083851105166,65.7136586338233,67.7454773869347,62.9600490221621,101.504232759834
1,1,10,10,3,76.85,69.1246932157788,78.505,66.6265350910613,65.7417768816943,67.5490954773869,62.8733896882908,103.221001875855
1,10,10,10,3,80.315,72.6884203616567,81.28,69.2722573070955,67.1546053937581,71.5817085427136,65.7477303662701,92.409982558474
1,100,10,10,3,72.1,64.6899592340994,72.565,54.7592869925489,49.7526594828555,61.0768341708543,49.1748040380416,121.546427120392
1,1000,10,10,3,66.21,57.9927054863758,66.32,43.0276605763673,36.4106973213304,52.6470351758794,35.4252651804892,146.109738446406
1,10000,10,10,3,65.28,57.5472025738798,65.635,42.3136086964765,35.6948638237966,52.03608040201,34.5769774745123,147.762792745781
1,100000,10,10,3,64.625,57.3217890865006,65.035,41.8538624843297,35.2582865389057,51.575175879397,34.0428552473977,148.542937073827
10,1e-05,10,10,3,72.895,64.3578425864983,73.235,60.5035355621595,59.5258422773083,61.5210552763819,56.0564439887869,119.173592749627
10,0.0001,10,10,3,72.955,64.4319179729097,73.295,60.5672924103589,59.5756051860966,61.5996984924623,56.1262388969555,118.938262409972
10,0.001,10,10,3,73.77,64.944105705936,74.12,61.2931104440885,60.3733129105173,62.2477889447236,56.9402779700027,117.176003324954
10,0.01,10,10,3,74.18,65.3902316932532,74.55,61.8084994039411,60.8606333461635,62.7942211055276,57.5116989702161,115.719190704273
10,0.1,10,10,3,75.15,67.3680130262144,75.64,63.6199088890707,62.4923384648761,64.7997487437186,59.5143817239533,109.287741421887
10,1,10,10,3,72.425,64.8066214120828,73.37,60.2831361740181,58.8130207146084,61.8365829145729,55.7686314167607,118.087617470459
10,10,10,10,3,75.67,68.0348948213363,76.925,63.6579362032116,61.622042898169,65.8776381909548,59.4802134030899,107.83753652064
10,100,10,10,3,69.06,62.1409749165107,69.88,53.0291377684293,48.7676507398908,58.2388944723618,47.293377815638,129.398195572807
10,1000,10,10,3,60.275,54.2925013783984,60.385,40.5632661524792,35.2437629218175,47.8131155778894,32.8684791549018,157.092432734128
10,10000,10,10,3,59.725,54.121420943427,60.12,40.3361616115539,34.9463652950762,47.7370854271357,32.5926913173342,157.742176381682
10,100000,10,10,3,60.135,54.2123324402805,60.44,40.579305767453,35.1876280537808,47.9833668341709,32.8717777979961,157.404465908436
100,1e-05,10,10,3,70.885,62.2188487210012,71.93,58.3997678085985,56.996370590647,59.8916582914573,53.6730818667962,126.596947494755
100,0.0001,10,10,3,70.88,62.2142594102616,71.92,58.4027217360883,56.9978922598307,59.8961809045226,53.6762334752502,126.612958495544
100,0.001,10,10,3,70.97,62.3006000277041,72.015,58.4969828051778,57.0953006855372,59.9871859296482,53.7815604589669,126.322938802745
100,0.01,10,10,3,71.165,62.6036107542811,72.185,58.6532157855324,57.294626814066,60.0955778894472,53.9596056255038,125.284617437677
100,0.1,10,10,3,72.985,64.3393825034714,73.57,60.4002466784285,58.8732935231665,62.019648241206,55.8947727204315,119.669044896997
100,1,10,10,3,72.32,63.6631961070585,73.135,59.4039959342375,57.5140349893371,61.4381909547739,54.7487943271707,122.242907471762
100,10,10,10,3,74.165,65.8607208513321,75.04,61.1316474498125,58.8148975650187,63.6556281407035,56.6430232138284,115.312358244463
100,100,10,10,3,61.85,56.5058637470666,62.62,43.8941462363016,38.9172154953403,50.3687939698492,36.7952687996814,149.189019251652
100,1000,10,10,3,55.87,50.8882059891765,56.615,36.6451092470515,30.9994493163821,44.8229145728643,28.1960953329426,169.067220257231
100,10000,10,10,3,54.41,49.9932535984659,55.185,35.7261574998458,30.2675500603094,43.5968844221106,27.1672494823972,171.866258823843
100,100000,10,10,3,54,49.9644499242282,54.955,35.538013460748,30.044863083848,43.5079396984925,26.9313022230289,172.072314302667
1000,1e-05,10,10,3,70.55,62.000683740662,71.83,58.0016671594804,56.0991198004348,60.058743718593,53.1816278318505,127.72516430162
1000,0.0001,10,10,3,70.575,62.0424491811563,71.855,58.0396470296594,56.1344991861374,60.0997989949749,53.2238115770743,127.587941991564
