Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,,,,,,,,
1,10,21,21,3,77.38095238,68.55463499,78.33333333,64.02377794,59.87460591,69.00164204,57.70553631,92.13909118,,,,,,,,
10,10,21,21,3,77.19047619,66.57931886,77.38095238,61.72421987,58.26884892,65.74055829,55.07975505,96.70744742,,,,,,,,
1000,1,7,7,3,76.95238095,65.14985637,77.61904762,63.11473505,61.05534679,65.41543514,56.90246055,99.61803397,,,,,,,,
1000,1,21,21,3,76.57142857,67.15442968,77.47619048,64.55813604,61.18217725,68.52545156,58.43206886,95.25670498,,,,,,,,
0.1,0.1,14,14,3,76.47619048,67.06876569,77.52380952,64.34336532,62.00931212,66.89655172,58.31852891,94.31718605,,,,,,,,
1000,10,7,7,3,75.66666667,63.11522511,75.95238095,59.77497059,57.34745662,62.47619048,52.95916769,105.5510136,,,,,,,,
100,10,21,21,3,75.61904762,64.90195257,75.9047619,60.37517696,56.72153879,64.68965517,53.46448841,101.749366,,,,,,,,
0.1,1,21,21,3,75.47619048,66.6244165,76.33333333,63.03739607,58.84642647,67.99671593,56.55935504,98.0401945,,,,,,,,
0.1,0.001,14,14,3,75.33333333,65.14714314,76.33333333,62.62251059,60.13695612,65.3727422,56.28401867,99.82807424,,,,,,,,
0.1,1.00E-05,14,14,3,75.0952381,65.55564365,76.23809524,63.0998841,60.51819933,65.95073892,56.84617922,98.82300932,,,,,,,,
0.1,0.0001,14,14,3,75.0952381,65.55564365,76.23809524,63.0998841,60.51819933,65.95073892,56.84617922,98.82300932,,,,,,,,
0.1,1,14,14,3,74.95238095,66.27099662,76.33333333,62.42594934,59.17617082,66.13464696,55.96133554,97.41126089,,,,,,,,
10000,0.01,7,7,3,74.61904762,63.56901802,74.9047619,61.77445583,57.72105638,66.5320197,55.0875436,106.7005711,,,,,,,,
10000,0.01,14,14,3,74.38095238,65.11182632,75,62.79328691,57.983176,68.58784893,56.18923316,103.2704627,,,,,,,,
10000,0.01,21,21,3,74.23809524,65.56301441,74.66666667,63.00031212,57.79027921,69.39573071,56.37433807,102.3851589,,,,,,,,
0.1,0.001,7,7,3,74.04761905,64.71609212,75.85714286,62.222072,60.27553616,64.30870279,55.89520069,100.6296334,,,,,,,,
10000,0.001,7,7,3,73.9047619,62.61815831,74.42857143,60.77438783,56.88658021,65.39244663,53.91510322,108.9957017,,,,,,,,
10000,0.1,21,21,3,73.66666667,64.64360112,74.19047619,62.47106268,57.70534807,68.19047619,55.81297129,104.4524027,,,,,,,,
0.1,0.1,7,7,3,73.61904762,64.19112457,75.23809524,61.49049525,59.68866898,63.42857143,55.05993534,102.0003321,,,,,,,,
0.1,0.01,7,7,3,73.38095238,64.52370166,75.52380952,62.08915023,60.30900282,63.99014778,55.76104088,101.0147618,,,,,,,,
10000,0.0001,21,21,3,73.33333333,64.80863405,74.0952381,61.99149227,56.76542549,68.37438424,55.16997466,104.6042768,,,,,,,,
0.1,1.00E-05,7,7,3,73.23809524,64.37414139,75.33333333,61.62663543,59.57581336,63.83251232,55.1855775,101.6897003,,,,,,,,
0.1,0.0001,7,7,3,73.23809524,64.37414139,75.33333333,61.62663543,59.57581336,63.83251232,55.1855775,101.6897003,,,,,,,,
10000,0.0001,7,7,3,73.0952381,62.62640969,73.80952381,60.55899318,56.09436917,65.89819376,53.58190547,109.8812202,,,,,,,,
10000,0.1,7,7,3,73.0952381,61.71109917,73.57142857,60.13798046,55.99314727,65.03776683,53.14116488,112.0504635,,,,,,,,
10000,0.1,14,14,3,73.04761905,64.07135498,73.95238095,61.62819811,56.41242916,67.95730706,54.75942661,106.4958381,,,,,,,,
10000,1.00E-05,7,7,3,72.9047619,62.15211367,73.57142857,60.25156758,55.87470009,65.4679803,53.2291761,111.1392711,,,,,,,,
10000,1.00E-05,21,21,3,72.76190476,64.27322182,73.61904762,61.38219395,56.23732133,67.65845649,54.45457644,106.0452014,,,,,,,,
0.1,0.01,14,14,3,72.71428571,63.48893463,74.38095238,60.64142865,58.31089187,63.21510673,53.98563748,104.3437692,,,,,,,,
0.1,10,7,7,3,72.52380952,63.09802779,74.19047619,59.34694073,56.14190645,62.99835796,52.35243543,106.4581835,,,,,,,,
